,locus_tag,description
550,ctg1_4384,Phosphopantetheine attachment site
551,ctg1_4384,Condensation domain
552,ctg1_4384,Condensation domain
553,ctg1_4384,AMP-binding enzyme
554,ctg1_4384,AMP-binding enzyme C-terminal domain
555,ctg1_4384,Phosphopantetheine attachment site
556,ctg1_4384,Condensation domain
557,ctg1_4384,AMP-binding enzyme
558,ctg1_4384,AMP-binding enzyme C-terminal domain
559,ctg1_4384,Phosphopantetheine attachment site
560,ctg1_4384,Thioesterase domain
561,ctg1_4385,AMP-binding enzyme
562,ctg1_4387,"AAA domain, putative AbiEii toxin, Type IV TA system"
563,ctg1_4387,"AAA domain, putative AbiEii toxin, Type IV TA system"
564,ctg1_4390,FG-GAP-like repeat
565,ctg1_4392,Enoyl-(Acyl carrier protein) reductase
566,ctg1_4393,"Bacterial regulatory helix-turn-helix protein, lysR family"
567,ctg1_4393,LysR substrate binding domain
568,ctg1_4394,A nuclease family of the HNH/ENDO VII superfamily with conserved AHH
569,ctg1_4396,"Bacterial regulatory helix-turn-helix protein, lysR family"
570,ctg1_4396,LysR substrate binding domain
571,ctg1_4397,Aldo/keto reductase family
572,ctg1_4399,Proton-conducting membrane transporter
573,ctg1_4400,NADH-ubiquinone/plastoquinone oxidoreductase chain 4L
574,ctg1_4401,Domain related to MnhB subunit of Na+/H+ antiporter
575,ctg1_4402,"MBH, subunit D"
576,ctg1_4542,FAD binding domain
577,ctg1_4543,Histidine phosphatase superfamily (branch 1)
578,ctg1_4544,Phosphotransferase enzyme family
579,ctg1_4545,short chain dehydrogenase
580,ctg1_4546,"Acyl-CoA dehydrogenase, N-terminal domain"
581,ctg1_4546,"Acyl-CoA dehydrogenase, middle domain"
582,ctg1_4546,"Acyl-CoA dehydrogenase, C-terminal domain"
583,ctg1_4547,"Bacterial regulatory helix-turn-helix protein, lysR family"
584,ctg1_4547,LysR substrate binding domain
585,ctg1_4548,Phosphomethylpyrimidine kinase
586,ctg1_4549,Poly A polymerase head domain
587,ctg1_4549,Probable RNA and SrmB- binding site of polymerase A
588,ctg1_4549,tRNA nucleotidyltransferase domain 2 putative
589,ctg1_4550,HlyD family secretion protein
590,ctg1_4551,"Lantibiotic dehydratase, N terminus"
591,ctg1_4551,Lantibiotic biosynthesis dehydratase C-term
592,ctg1_4552,Lanthionine synthetase C-like protein
593,ctg1_4553,Biotin-lipoyl like
594,ctg1_4553,HlyD family secretion protein
595,ctg1_4554,Peptidase C39 family
596,ctg1_4554,ABC transporter transmembrane region
597,ctg1_4554,ABC transporter
598,ctg1_4557,tRNA methyl transferase HUP domain
599,ctg1_4557,tRNA methyl transferase PRC-barrel domain
600,ctg1_4557,Aminomethyltransferase beta-barrel domain
601,ctg1_4558,SPOR domain
602,ctg1_4559,"Phosphomannose isomerase type I, catalytic domain"
603,ctg1_4760,WD40-like Beta Propeller Repeat
604,ctg1_4760,WD40-like Beta Propeller Repeat
605,ctg1_4760,WD40-like Beta Propeller Repeat
606,ctg1_4760,WD40-like Beta Propeller Repeat
607,ctg1_4760,Amidohydrolase family
608,ctg1_4761,Ferric reductase like transmembrane component
609,ctg1_4762,Putative DNA-binding domain
610,ctg1_4763,Protein of unknown function (DUF692)
611,ctg1_4764,EF hand
612,ctg1_4764,EF hand
613,ctg1_4765,Alpha/beta hydrolase family
614,ctg1_4766,Cytochrome C biogenesis protein transmembrane region
615,ctg1_4767,Redoxin
616,ctg1_4768,Response regulator receiver domain
617,ctg1_4768,"Transcriptional regulatory protein, C terminal"
618,ctg1_5243,"Bacterial regulatory proteins, lacI family"
619,ctg1_5243,Periplasmic binding protein-like domain
620,ctg1_5244,"FGGY family of carbohydrate kinases, N-terminal domain"
621,ctg1_5244,"FGGY family of carbohydrate kinases, C-terminal domain"
622,ctg1_5245,L-arabinose isomerase
623,ctg1_5245,L-arabinose isomerase C-terminal domain
624,ctg1_5246,Periplasmic binding protein domain
625,ctg1_5247,ABC transporter
626,ctg1_5247,ABC transporter
627,ctg1_5248,Branched-chain amino acid transport system / permease component
628,ctg1_5249,Branched-chain amino acid transport system / permease component
629,ctg1_5250,Class II Aldolase and Adducin N-terminal domain
630,ctg1_5251,Glycosyl hydrolases family 43
631,ctg1_5251,Alpha-L-arabinofuranosidase B (ABFB) domain
632,ctg1_5252,Glycosyl hydrolases family 43
633,ctg1_5252,Alpha-L-arabinofuranosidase B (ABFB) domain
634,ctg1_5253,von Willebrand factor type A domain
635,ctg1_5254,Response regulator receiver domain
636,ctg1_5254,"Transcriptional regulatory protein, C terminal"
637,ctg1_5255,His Kinase A (phospho-acceptor) domain
638,ctg1_5255,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
639,ctg1_5256,SnoaL-like domain
640,ctg1_5257,AMP-binding enzyme
641,ctg1_5257,AMP-binding enzyme C-terminal domain
642,ctg1_5258,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
643,ctg1_5258,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
644,ctg1_5260,Penicillin binding protein transpeptidase domain
645,ctg1_5260,Stage II sporulation protein
646,ctg1_5261,"Glucodextranase, domain B"
647,ctg1_5261,Uncharacterized protein conserved in bacteria (DUF2135)
648,ctg1_5262,MG2 domain
649,ctg1_5262,Alpha-2-macroglobulin bait region domain
650,ctg1_5262,Alpha-2-macroglobulin family
651,ctg1_5262,A-macroglobulin TED domain
652,ctg1_5262,A-macroglobulin TED domain
653,ctg1_5262,Bacterial Alpha-2-macroglobulin MG10 domain
654,ctg1_5263,Protein of unknown function (DUF1175)
655,ctg1_5265,F5/8 type C domain
656,ctg1_5265,F5/8 type C domain
657,ctg1_5265,Glycosyl hydrolase family 81 N-terminal domain
658,ctg1_5265,Glycosyl hydrolase family 81 C-terminal domain
659,ctg1_5266,Ricin-type beta-trefoil lectin domain
660,ctg1_5266,Glycosyl hydrolases family 18
661,ctg1_5267,Cellulose binding domain
662,ctg1_5268,RNA 3'-terminal phosphate cyclase
663,ctg1_5270,Ppx/GppA phosphatase family
664,ctg1_5460,"Bacterial regulatory protein, arsR family"
665,ctg1_5461,Activator of Hsp90 ATPase homolog 1-like protein
666,ctg1_5462,von Willebrand factor type A domain
667,ctg1_5463,Protein kinase domain
668,ctg1_5463,AAA ATPase domain
669,ctg1_5463,GAF domain
670,ctg1_5463,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
671,ctg1_5464,Protein of unknown function (DUF3142)
672,ctg1_5464,Protein of unknown function (DUF3142)
673,ctg1_5466,Alpha/beta hydrolase family
674,ctg1_5468,Haem degrading protein HbpS-like
675,ctg1_5469,Copper/zinc superoxide dismutase (SODC)
676,ctg1_5470,ABC transporter
677,ctg1_5470,ABC transporter
678,ctg1_5471,GAF domain
679,ctg1_5471,His Kinase A (phospho-acceptor) domain
680,ctg1_5471,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
681,ctg1_5472,Redoxin
682,ctg1_5473,Bacterial transcriptional activator domain
683,ctg1_5473,AAA ATPase domain
684,ctg1_5474,"Beta-ketoacyl synthase, N-terminal domain"
685,ctg1_5474,"Beta-ketoacyl synthase, C-terminal domain"
686,ctg1_5474,Ketoacyl-synthetase C-terminal extension
687,ctg1_5474,Acyl transferase domain
688,ctg1_5474,Phosphopantetheine attachment site
689,ctg1_5474,Aminotransferase class-III
690,ctg1_5474,Luciferase-like monooxygenase
691,ctg1_5474,Condensation domain
692,ctg1_5474,AMP-binding enzyme
693,ctg1_5474,AMP-binding enzyme C-terminal domain
694,ctg1_5474,Phosphopantetheine attachment site
695,ctg1_5474,Thioesterase domain
696,ctg1_5475,Cytochrome P450
697,ctg1_5476,AMP-binding enzyme
698,ctg1_5476,Phosphopantetheine attachment site
699,ctg1_5477,Enoyl-(Acyl carrier protein) reductase
700,ctg1_5478,Glycosyl hydrolases family 16
701,ctg1_5479,ABC transporter transmembrane region
702,ctg1_5479,ABC transporter
703,ctg1_5480,ABC transporter transmembrane region
704,ctg1_5480,ABC transporter
705,ctg1_5481,"Protein of unknown function, DUF481"
706,ctg1_5484,CHAT domain
707,ctg1_5484,SIR2-like domain
708,ctg1_5486,Amidohydrolase family
709,ctg1_5487,Secretory lipase
710,ctg1_5488,Rnk N-terminus
711,ctg1_5488,"Transcription elongation factor, GreA/GreB, C-term"
712,ctg1_5490,GntP family permease
713,ctg1_5755,Carboxypeptidase regulatory-like domain
714,ctg1_5755,Carboxypeptidase regulatory-like domain
715,ctg1_5755,Carboxypeptidase regulatory-like domain
716,ctg1_5755,Carboxypeptidase regulatory-like domain
717,ctg1_5756,Protein phosphatase 2C
718,ctg1_5756,Cyclic nucleotide-binding domain
719,ctg1_5757,FHA domain
720,ctg1_5760,KR domain
721,ctg1_5760,Phosphopantetheine attachment site
722,ctg1_5761,Inositol monophosphatase family
723,ctg1_5767,Protein of unknown function (DUF2283)
724,ctg1_5771,Fatty acid desaturase
725,ctg1_5772,AMP-binding enzyme
726,ctg1_5772,Phosphopantetheine attachment site
727,ctg1_5772,Condensation domain
728,ctg1_5772,AMP-binding enzyme
729,ctg1_5772,AMP-binding enzyme C-terminal domain
730,ctg1_5772,Phosphopantetheine attachment site
731,ctg1_5772,Condensation domain
732,ctg1_5772,AMP-binding enzyme
733,ctg1_5772,AMP-binding enzyme C-terminal domain
734,ctg1_5772,Phosphopantetheine attachment site
735,ctg1_5772,Condensation domain
736,ctg1_5772,AMP-binding enzyme
737,ctg1_5772,AMP-binding enzyme C-terminal domain
738,ctg1_5772,Phosphopantetheine attachment site
739,ctg1_5772,Condensation domain
740,ctg1_5772,AMP-binding enzyme
741,ctg1_5772,AMP-binding enzyme C-terminal domain
742,ctg1_5772,Phosphopantetheine attachment site
743,ctg1_5772,Condensation domain
744,ctg1_5772,AMP-binding enzyme
745,ctg1_5772,AMP-binding enzyme C-terminal domain
746,ctg1_5772,Phosphopantetheine attachment site
747,ctg1_5772,Thioesterase domain
748,ctg1_5773,SnoaL-like domain
749,ctg1_5775,Methyltransferase domain
750,ctg1_5776,Major Facilitator Superfamily
751,ctg1_5777,"Cation transporter/ATPase, N-terminus"
752,ctg1_5777,E1-E2 ATPase
753,ctg1_5777,haloacid dehalogenase-like hydrolase
754,ctg1_5777,"Cation transporting ATPase, C-terminus"
755,ctg1_5779,F5/8 type C domain
756,ctg1_5779,Carbohydrate binding module (family 35)
757,ctg1_5779,CARDB
758,ctg1_5779,CARDB
759,ctg1_5779,Right handed beta helix region
760,ctg1_5780,Bacterial extracellular solute-binding protein
761,ctg1_5781,Pectate lyase superfamily protein
762,ctg1_5782,"Bacterial regulatory proteins, tetR family"
763,ctg1_5783,Beta-lactamase
764,ctg1_5830,Major intrinsic protein
765,ctg1_5831,Dihydrouridine synthase (Dus)
766,ctg1_5832,Arginase family
767,ctg1_5835,Glycosyl hydrolase family 92 N-terminal domain
768,ctg1_5835,Glycosyl hydrolase family 92
769,ctg1_5836,Protein kinase domain
770,ctg1_5836,Lanthionine synthetase C-like protein
771,ctg1_5839,Domain of unknown function (DUF6249)
772,ctg1_5840,Sigma-70 region 2
773,ctg1_5840,"Sigma-70, region 4"
774,ctg1_5843,Putative metal-binding motif
775,ctg1_5843,Putative metal-binding motif
776,ctg1_5843,Putative metal-binding motif
777,ctg1_5843,Putative metal-binding motif
778,ctg1_5844,"Bacterial regulatory helix-turn-helix protein, lysR family"
779,ctg1_5844,LysR substrate binding domain
780,ctg1_5856,"Resolvase, N terminal domain"
781,ctg1_5856,Recombinase
782,ctg1_5856,Recombinase zinc beta ribbon domain
783,ctg1_5859,Kelch motif
784,ctg1_5859,Kelch motif
785,ctg1_5859,Kelch motif
786,ctg1_5859,Kelch motif
787,ctg1_5859,Kelch motif
788,ctg1_5860,Amino acid permease
789,ctg1_5861,Glycosyl hydrolases family 43
790,ctg1_5862,His Kinase A (phospho-acceptor) domain
791,ctg1_5862,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
792,ctg1_5862,Response regulator receiver domain
793,ctg1_5862,His Kinase A (phospho-acceptor) domain
794,ctg1_5862,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
795,ctg1_5863,His Kinase A (phospho-acceptor) domain
796,ctg1_5863,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
797,ctg1_5863,Response regulator receiver domain
798,ctg1_5863,His Kinase A (phospho-acceptor) domain
799,ctg1_5863,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
800,ctg1_5864,Regulator of chromosome condensation (RCC1) repeat
801,ctg1_5864,Regulator of chromosome condensation (RCC1) repeat
802,ctg1_5864,Regulator of chromosome condensation (RCC1) repeat
803,ctg1_5864,Regulator of chromosome condensation (RCC1) repeat
804,ctg1_5864,Regulator of chromosome condensation (RCC1) repeat
805,ctg1_5864,Regulator of chromosome condensation (RCC1) repeat
806,ctg1_5864,Regulator of chromosome condensation (RCC1) repeat
807,ctg1_5864,Regulator of chromosome condensation (RCC1) repeat
808,ctg1_5864,Regulator of chromosome condensation (RCC1) repeat
809,ctg1_5864,Regulator of chromosome condensation (RCC1) repeat
810,ctg1_5864,Regulator of chromosome condensation (RCC1) repeat
811,ctg1_5864,Regulator of chromosome condensation (RCC1) repeat
812,ctg1_5865,Thioesterase domain
813,ctg1_5866,"Beta-ketoacyl synthase, N-terminal domain"
814,ctg1_5866,"Beta-ketoacyl synthase, C-terminal domain"
815,ctg1_5866,Ketoacyl-synthetase C-terminal extension
816,ctg1_5866,Acyl transferase domain
817,ctg1_5866,Phosphopantetheine attachment site
818,ctg1_5867,AMP-binding enzyme
819,ctg1_5867,AMP-binding enzyme C-terminal domain
820,ctg1_5868,Major Facilitator Superfamily
821,ctg1_5869,Condensation domain
822,ctg1_5869,Phosphopantetheine attachment site
823,ctg1_5869,Condensation domain
824,ctg1_5869,Condensation domain
825,ctg1_5869,AMP-binding enzyme
826,ctg1_5869,AMP-binding enzyme C-terminal domain
827,ctg1_5869,Phosphopantetheine attachment site
828,ctg1_5869,Condensation domain
829,ctg1_5869,Condensation domain
830,ctg1_5869,AMP-binding enzyme
831,ctg1_5869,AMP-binding enzyme C-terminal domain
832,ctg1_5869,Phosphopantetheine attachment site
833,ctg1_5870,"Acyl-CoA dehydrogenase, middle domain"
834,ctg1_5870,"Acyl-CoA dehydrogenase, C-terminal domain"
835,ctg1_5871,AMP-binding enzyme
836,ctg1_5871,AMP-binding enzyme C-terminal domain
837,ctg1_5872,Glutamine amidotransferase domain
838,ctg1_5872,Asparagine synthase
839,ctg1_5874,Short repeat of unknown function (DUF308)
840,ctg1_5875,Protein of unknown function (DUF445)
841,ctg1_5876,Bacterial pre-peptidase C-terminal domain
842,ctg1_5876,Bacterial pre-peptidase C-terminal domain
843,ctg1_5876,Bacterial pre-peptidase C-terminal domain
844,ctg1_5876,Bacterial pre-peptidase C-terminal domain
845,ctg1_5877,SnoaL-like polyketide cyclase
846,ctg1_5878,Protein kinase domain
847,ctg1_5878,AAA ATPase domain
848,ctg1_5878,GAF domain
849,ctg1_5878,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
850,ctg1_5920,Helix-turn-helix
851,ctg1_5921,Helix-turn-helix
852,ctg1_5922,Protein kinase domain
853,ctg1_5923,HAMP domain
854,ctg1_5923,His Kinase A (phospho-acceptor) domain
855,ctg1_5923,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
856,ctg1_5924,Response regulator receiver domain
857,ctg1_5924,GAF domain
858,ctg1_5924,PAS fold
859,ctg1_5924,His Kinase A (phospho-acceptor) domain
860,ctg1_5924,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
861,ctg1_5924,Response regulator receiver domain
862,ctg1_5924,Response regulator receiver domain
863,ctg1_5924,"Diguanylate cyclase, GGDEF domain"
864,ctg1_5925,LexA DNA binding domain
865,ctg1_5925,Peptidase S24-like
866,ctg1_5926,NlpC/P60 family
867,ctg1_5927,Serine endopeptidase inhibitors
868,ctg1_5928,Tetratricopeptide repeat
869,ctg1_5928,Tetratricopeptide repeat
870,ctg1_5930,LysM domain
871,ctg1_5930,Peptidase family M23
872,ctg1_5931,Survival protein SurE
873,ctg1_5932,"Enolase, N-terminal domain"
874,ctg1_5932,"Enolase, C-terminal TIM barrel domain"
875,ctg1_5933,ADP-ribosylglycohydrolase
876,ctg1_5935,Polyketide cyclase / dehydrase and lipid transport
877,ctg1_5936,"Bacterial fructose-1,6-bisphosphatase, glpX-encoded"
878,ctg1_5937,Thioesterase superfamily
879,ctg1_5938,Type I phosphodiesterase / nucleotide pyrophosphatase
880,ctg1_5939,"Quinolinate phosphoribosyl transferase, N-terminal domain"
881,ctg1_5939,"Quinolinate phosphoribosyl transferase, C-terminal domain"
882,ctg1_5940,"tRNA synthetases class I (I, L, M and V)"
883,ctg1_5940,Anticodon-binding domain of tRNA ligase
884,ctg1_5940,Valyl tRNA synthetase tRNA binding arm
885,ctg1_5941,Response regulator receiver domain
886,ctg1_5943,Response regulator receiver domain
887,ctg1_5943,"Diguanylate cyclase, GGDEF domain"
888,ctg1_5944,His Kinase A (phospho-acceptor) domain
889,ctg1_5944,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
890,ctg1_5944,Response regulator receiver domain
891,ctg1_5945,TCP-1/cpn60 chaperonin family
892,ctg1_5946,Response regulator receiver domain
893,ctg1_5947,Tetratricopeptide repeat
894,ctg1_5947,Tetratricopeptide repeat
895,ctg1_5947,Zincin-like metallopeptidase
896,ctg1_5949,Acyltransferase family
897,ctg1_5950,MatE
898,ctg1_5950,MatE
899,ctg1_5951,short chain dehydrogenase
900,ctg1_5952,Acyl transferase domain
901,ctg1_5953,"Beta-ketoacyl synthase, N-terminal domain"
902,ctg1_5953,"Beta-ketoacyl synthase, C-terminal domain"
903,ctg1_5954,Phosphopantetheine attachment site
904,ctg1_5955,Enoyl-CoA hydratase/isomerase
905,ctg1_5956,Enoyl-CoA hydratase/isomerase
906,ctg1_5957,Hydroxymethylglutaryl-coenzyme A synthase N terminal
907,ctg1_5957,Hydroxymethylglutaryl-coenzyme A synthase C terminal
908,ctg1_5958,Acyl transferase domain
909,ctg1_5959,Nitronate monooxygenase
910,ctg1_5960,Domain of unknown function (DUF4180)
911,ctg1_5961,Methyltransferase domain
912,ctg1_5961,Phosphopantetheine attachment site
913,ctg1_5961,"Beta-ketoacyl synthase, N-terminal domain"
914,ctg1_5961,"Beta-ketoacyl synthase, C-terminal domain"
915,ctg1_5961,Ketoacyl-synthetase C-terminal extension
916,ctg1_5961,Polyketide synthase dehydratase
917,ctg1_5961,KR domain
918,ctg1_5961,Phosphopantetheine attachment site
919,ctg1_5961,"Beta-ketoacyl synthase, N-terminal domain"
920,ctg1_5961,"Beta-ketoacyl synthase, C-terminal domain"
921,ctg1_5961,Ketoacyl-synthetase C-terminal extension
922,ctg1_5961,Phosphopantetheine attachment site
923,ctg1_5961,Thioesterase domain
924,ctg1_5962,KR domain
925,ctg1_5962,Phosphopantetheine attachment site
926,ctg1_5962,"Beta-ketoacyl synthase, N-terminal domain"
927,ctg1_5962,"Beta-ketoacyl synthase, C-terminal domain"
928,ctg1_5962,Ketoacyl-synthetase C-terminal extension
929,ctg1_5962,Polyketide synthase dehydratase
930,ctg1_5962,Phosphopantetheine attachment site
931,ctg1_5962,"Beta-ketoacyl synthase, N-terminal domain"
932,ctg1_5962,"Beta-ketoacyl synthase, C-terminal domain"
933,ctg1_5962,Ketoacyl-synthetase C-terminal extension
934,ctg1_5962,Polyketide synthase dehydratase
935,ctg1_5962,KR domain
936,ctg1_5962,Phosphopantetheine attachment site
937,ctg1_5962,"Beta-ketoacyl synthase, N-terminal domain"
938,ctg1_5962,"Beta-ketoacyl synthase, C-terminal domain"
939,ctg1_5962,Ketoacyl-synthetase C-terminal extension
940,ctg1_5962,Polyketide synthase dehydratase
941,ctg1_5962,KR domain
942,ctg1_5962,Phosphopantetheine attachment site
943,ctg1_5962,"Beta-ketoacyl synthase, N-terminal domain"
944,ctg1_5962,"Beta-ketoacyl synthase, C-terminal domain"
945,ctg1_5962,Ketoacyl-synthetase C-terminal extension
946,ctg1_5962,KR domain
947,ctg1_5962,Phosphopantetheine attachment site
948,ctg1_5962,"Beta-ketoacyl synthase, N-terminal domain"
949,ctg1_5962,"Beta-ketoacyl synthase, C-terminal domain"
950,ctg1_5962,Ketoacyl-synthetase C-terminal extension
951,ctg1_5962,Phosphopantetheine attachment site
952,ctg1_5962,Phosphopantetheine attachment site
953,ctg1_5962,"Beta-ketoacyl synthase, N-terminal domain"
954,ctg1_5962,"Beta-ketoacyl synthase, C-terminal domain"
955,ctg1_5962,Ketoacyl-synthetase C-terminal extension
956,ctg1_5962,Polyketide synthase dehydratase
957,ctg1_5962,KR domain
958,ctg1_5962,Phosphopantetheine attachment site
959,ctg1_5962,"Beta-ketoacyl synthase, N-terminal domain"
960,ctg1_5962,"Beta-ketoacyl synthase, C-terminal domain"
961,ctg1_5962,Ketoacyl-synthetase C-terminal extension
962,ctg1_5962,Phosphopantetheine attachment site
963,ctg1_5962,Phosphopantetheine attachment site
964,ctg1_5962,"Beta-ketoacyl synthase, N-terminal domain"
965,ctg1_5962,"Beta-ketoacyl synthase, C-terminal domain"
966,ctg1_5962,Ketoacyl-synthetase C-terminal extension
967,ctg1_5962,KR domain
968,ctg1_5963,"Beta-ketoacyl synthase, N-terminal domain"
969,ctg1_5963,"Beta-ketoacyl synthase, C-terminal domain"
970,ctg1_5963,Ketoacyl-synthetase C-terminal extension
971,ctg1_5963,Phosphopantetheine attachment site
972,ctg1_5963,"Beta-ketoacyl synthase, N-terminal domain"
973,ctg1_5963,"Beta-ketoacyl synthase, C-terminal domain"
974,ctg1_5963,Ketoacyl-synthetase C-terminal extension
975,ctg1_5963,Polyketide synthase dehydratase
976,ctg1_5963,KR domain
977,ctg1_5963,Phosphopantetheine attachment site
978,ctg1_5963,"Beta-ketoacyl synthase, N-terminal domain"
979,ctg1_5963,"Beta-ketoacyl synthase, C-terminal domain"
980,ctg1_5963,Ketoacyl-synthetase C-terminal extension
981,ctg1_5963,KR domain
982,ctg1_5963,Phosphopantetheine attachment site
983,ctg1_5963,"Beta-ketoacyl synthase, N-terminal domain"
984,ctg1_5963,"Beta-ketoacyl synthase, C-terminal domain"
985,ctg1_5963,Ketoacyl-synthetase C-terminal extension
986,ctg1_5963,Polyketide synthase dehydratase
987,ctg1_5963,KR domain
988,ctg1_5963,Methyltransferase domain
989,ctg1_5963,Phosphopantetheine attachment site
990,ctg1_5963,Phosphopantetheine attachment site
991,ctg1_5963,"Beta-ketoacyl synthase, N-terminal domain"
992,ctg1_5963,"Beta-ketoacyl synthase, C-terminal domain"
993,ctg1_5963,Ketoacyl-synthetase C-terminal extension
994,ctg1_5963,KR domain
995,ctg1_5963,Methyltransferase domain
996,ctg1_5963,Phosphopantetheine attachment site
997,ctg1_5963,"Beta-ketoacyl synthase, N-terminal domain"
998,ctg1_5963,"Beta-ketoacyl synthase, C-terminal domain"
999,ctg1_5963,Ketoacyl-synthetase C-terminal extension
1000,ctg1_5964,Sulfatase-modifying factor enzyme 1
1001,ctg1_5965,Fibronectin type III domain
1002,ctg1_5965,Fibronectin type III domain
1003,ctg1_5965,Carbohydrate binding domain (family 25)
1004,ctg1_5965,Starch binding domain
1005,ctg1_5967,Uncharacterized protein conserved in bacteria (DUF2188)
1006,ctg1_5969,Ion transport protein
1007,ctg1_5971,F5/8 type C domain
1008,ctg1_5971,Glycosyl hydrolase family 92 N-terminal domain
1009,ctg1_5971,Glycosyl hydrolase family 92
1010,ctg1_5972,His Kinase A (phospho-acceptor) domain
1011,ctg1_5972,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
1012,ctg1_5973,Pyridoxamine 5'-phosphate oxidase
1013,ctg1_5974,"Bacterial regulatory proteins, gntR family"
1014,ctg1_5974,Aminotransferase class I and II
1015,ctg1_5975,FAD binding domain
1016,ctg1_5976,Protein of unknown function (DUF3396)
1017,ctg1_6424,Bacterial extracellular solute-binding protein
1018,ctg1_6425,Bacterial extracellular solute-binding protein
1019,ctg1_6426,CHASE3 domain
1020,ctg1_6426,HAMP domain
1021,ctg1_6426,His Kinase A (phospho-acceptor) domain
1022,ctg1_6426,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
1023,ctg1_6426,Response regulator receiver domain
1024,ctg1_6427,"Neutral/alkaline non-lysosomal ceramidase, N-terminal"
1025,ctg1_6427,"Neutral/alkaline non-lysosomal ceramidase, C-terminal"
1026,ctg1_6429,"Di-haem oxidoreductase, putative peroxidase"
1027,ctg1_6429,"Di-haem oxidoreductase, putative peroxidase"
1028,ctg1_6430,Peptidase family M28
1029,ctg1_6431,Iron-containing redox enzyme
1030,ctg1_6432,Spermine/spermidine synthase domain
1031,ctg1_6433,Cupin-like domain
1032,ctg1_6434,Methyltransferase FkbM domain
1033,ctg1_6435,Transmembrane secretion effector
1034,ctg1_6436,Condensation domain
1035,ctg1_6436,AMP-binding enzyme
1036,ctg1_6436,AMP-binding enzyme C-terminal domain
1037,ctg1_6436,Phosphopantetheine attachment site
1038,ctg1_6436,Condensation domain
1039,ctg1_6436,AMP-binding enzyme
1040,ctg1_6436,AMP-binding enzyme C-terminal domain
1041,ctg1_6436,Phosphopantetheine attachment site
1042,ctg1_6436,Condensation domain
1043,ctg1_6436,AMP-binding enzyme
1044,ctg1_6436,AMP-binding enzyme C-terminal domain
1045,ctg1_6436,Phosphopantetheine attachment site
1046,ctg1_6437,Condensation domain
1047,ctg1_6437,AMP-binding enzyme
1048,ctg1_6437,AMP-binding enzyme C-terminal domain
1049,ctg1_6437,Phosphopantetheine attachment site
1050,ctg1_6437,Condensation domain
1051,ctg1_6437,AMP-binding enzyme
1052,ctg1_6437,AMP-binding enzyme C-terminal domain
1053,ctg1_6437,Phosphopantetheine attachment site
1054,ctg1_6437,Thioesterase domain
1055,ctg1_6438,Cupin-like domain
1056,ctg1_6441,2OG-Fe(II) oxygenase superfamily
1057,ctg1_6443,Protein kinase domain
1058,ctg1_6443,Tetratricopeptide repeat
1059,ctg1_6444,Biotin/lipoate A/B protein ligase family
1060,ctg1_6444,Bacterial lipoate protein ligase C-terminus
1061,ctg1_6445,Amidohydrolase family
1062,ctg1_6445,Amidohydrolase family
1063,ctg1_6447,D-ala D-ala ligase C-terminus
1064,ctg1_6448,Protein of unknown function (DUF1565)
1065,ctg1_6448,Right handed beta helix region
1066,ctg1_6449,Peptidase family M48
1067,ctg1_6450,Fungalysin/Thermolysin Propeptide Motif
1068,ctg1_6450,"Thermolysin metallopeptidase, catalytic domain"
1069,ctg1_6450,"Thermolysin metallopeptidase, alpha-helical domain"
1070,ctg1_6450,Bacterial pre-peptidase C-terminal domain
1071,ctg1_6450,Bacterial pre-peptidase C-terminal domain
1072,ctg1_6452,Kelch motif
1073,ctg1_6452,Kelch motif
1074,ctg1_6452,"Galactose oxidase, central domain"
1075,ctg1_6452,"Galactose oxidase, central domain"
1076,ctg1_6452,"Galactose oxidase, central domain"
1077,ctg1_6453,DcaP outer membrane protein
1078,ctg1_6454,ABC transporter
1079,ctg1_6454,NIL domain
1080,ctg1_6455,Binding-protein-dependent transport system inner membrane component
1081,ctg1_6456,NlpA lipoprotein
1082,ctg1_6457,Protein of unknown function (DUF3060)
1083,ctg1_6459,Putative restriction endonuclease
1084,ctg1_6460,LysM domain
1085,ctg1_6461,Cytochrome P450
1086,ctg1_6462,Condensation domain
1087,ctg1_6463,AMP-binding enzyme
1088,ctg1_6463,AMP-binding enzyme C-terminal domain
1089,ctg1_6463,Phosphopantetheine attachment site
1090,ctg1_6463,Condensation domain
1091,ctg1_6463,AMP-binding enzyme
1092,ctg1_6463,AMP-binding enzyme C-terminal domain
1093,ctg1_6463,Phosphopantetheine attachment site
