,locus_tag,description
550,ctg1_5260,AMP-binding enzyme
551,ctg1_5260,AMP-binding enzyme C-terminal domain
552,ctg1_5260,Phosphopantetheine attachment site
553,ctg1_5260,Thioesterase domain
554,ctg1_5261,Cytochrome P450
555,ctg1_5262,AMP-binding enzyme
556,ctg1_5262,Phosphopantetheine attachment site
557,ctg1_5263,Enoyl-(Acyl carrier protein) reductase
558,ctg1_5264,Glycosyl hydrolases family 16
559,ctg1_5265,Glycosyl hydrolase family 76
560,ctg1_5265,Carbohydrate binding module (family 6)
561,ctg1_5266,ABC transporter transmembrane region
562,ctg1_5266,ABC transporter
563,ctg1_5267,ABC transporter transmembrane region
564,ctg1_5267,ABC transporter
565,ctg1_5268,"Protein of unknown function, DUF481"
566,ctg1_5269,Glutaredoxin
567,ctg1_5270,Amidohydrolase family
568,ctg1_5271,Secretory lipase
569,ctg1_5272,Rnk N-terminus
570,ctg1_5272,"Transcription elongation factor, GreA/GreB, C-term"
571,ctg1_5274,GntP family permease
572,ctg1_5275,Aldo/keto reductase family
573,ctg1_5587,Alcohol dehydrogenase GroES-like domain
574,ctg1_5587,Zinc-binding dehydrogenase
575,ctg1_5588,Major intrinsic protein
576,ctg1_5589,Dihydrouridine synthase (Dus)
577,ctg1_5590,Arginase family
578,ctg1_5593,Glycosyl hydrolase family 92 N-terminal domain
579,ctg1_5593,Glycosyl hydrolase family 92
580,ctg1_5594,Lanthionine-containing peptide SapB precursor RamS
581,ctg1_5595,Protein kinase domain
582,ctg1_5595,Lanthionine synthetase C-like protein
583,ctg1_5598,Domain of unknown function (DUF6249)
584,ctg1_5599,Sigma-70 region 2
585,ctg1_5599,"Sigma-70, region 4"
586,ctg1_5602,"Bacterial regulatory helix-turn-helix protein, lysR family"
587,ctg1_5602,LysR substrate binding domain
588,ctg1_5603,Sulfite exporter TauE/SafE
589,ctg1_5604,Pregnancy-associated plasma protein-A
590,ctg1_5606,HIT domain
591,ctg1_5606,PLD-like domain
592,ctg1_5606,"Type III restriction enzyme, res subunit"
593,ctg1_5606,Helicase conserved C-terminal domain
594,ctg1_5606,Peptidase S24-like
595,ctg1_5607,Kelch motif
596,ctg1_5607,Kelch motif
597,ctg1_5607,Kelch motif
598,ctg1_5607,Kelch motif
599,ctg1_5607,Kelch motif
600,ctg1_5609,Amino acid permease
601,ctg1_5610,Glycosyl hydrolases family 43
602,ctg1_5611,GAF domain
603,ctg1_5611,His Kinase A (phospho-acceptor) domain
604,ctg1_5611,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
605,ctg1_5611,Response regulator receiver domain
606,ctg1_5611,His Kinase A (phospho-acceptor) domain
607,ctg1_5611,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
608,ctg1_5612,His Kinase A (phospho-acceptor) domain
609,ctg1_5612,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
610,ctg1_5612,Response regulator receiver domain
611,ctg1_5612,His Kinase A (phospho-acceptor) domain
612,ctg1_5612,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
613,ctg1_5615,Thioesterase domain
614,ctg1_5616,"Beta-ketoacyl synthase, N-terminal domain"
615,ctg1_5616,"Beta-ketoacyl synthase, C-terminal domain"
616,ctg1_5616,Ketoacyl-synthetase C-terminal extension
617,ctg1_5616,Acyl transferase domain
618,ctg1_5616,Phosphopantetheine attachment site
619,ctg1_5617,AMP-binding enzyme
620,ctg1_5618,Major Facilitator Superfamily
621,ctg1_5619,Condensation domain
622,ctg1_5619,Phosphopantetheine attachment site
623,ctg1_5619,Condensation domain
624,ctg1_5619,Condensation domain
625,ctg1_5619,AMP-binding enzyme
626,ctg1_5619,AMP-binding enzyme C-terminal domain
627,ctg1_5619,Phosphopantetheine attachment site
628,ctg1_5619,Condensation domain
629,ctg1_5619,Condensation domain
630,ctg1_5619,AMP-binding enzyme
631,ctg1_5619,AMP-binding enzyme C-terminal domain
632,ctg1_5619,Phosphopantetheine attachment site
633,ctg1_5620,"Acyl-CoA dehydrogenase, N-terminal domain"
634,ctg1_5620,"Acyl-CoA dehydrogenase, middle domain"
635,ctg1_5620,"Acyl-CoA dehydrogenase, C-terminal domain"
636,ctg1_5621,AMP-binding enzyme
637,ctg1_5621,AMP-binding enzyme C-terminal domain
638,ctg1_5622,Glutamine amidotransferase domain
639,ctg1_5622,Asparagine synthase
640,ctg1_5625,Lipoxygenase
641,ctg1_5626,Protein kinase domain
642,ctg1_5626,AAA ATPase domain
643,ctg1_5626,GAF domain
644,ctg1_5626,His Kinase A (phospho-acceptor) domain
645,ctg1_5626,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
646,ctg1_5627,SnoaL-like polyketide cyclase
647,ctg1_5671,Response regulator receiver domain
648,ctg1_5671,GAF domain
649,ctg1_5671,His Kinase A (phospho-acceptor) domain
650,ctg1_5671,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
651,ctg1_5671,Response regulator receiver domain
652,ctg1_5671,Response regulator receiver domain
653,ctg1_5671,"Diguanylate cyclase, GGDEF domain"
654,ctg1_5672,LexA DNA binding domain
655,ctg1_5672,Peptidase S24-like
656,ctg1_5673,NlpC/P60 family
657,ctg1_5675,"Bacterial regulatory proteins, tetR family"
658,ctg1_5676,ABC transporter
659,ctg1_5677,ABC-2 family transporter protein
660,ctg1_5678,ABC-2 family transporter protein
661,ctg1_5679,Serine endopeptidase inhibitors
662,ctg1_5680,Tetratricopeptide repeat
663,ctg1_5680,Tetratricopeptide repeat
664,ctg1_5680,Tetratricopeptide repeat
665,ctg1_5682,LysM domain
666,ctg1_5682,Peptidase family M23
667,ctg1_5683,Survival protein SurE
668,ctg1_5684,"Enolase, N-terminal domain"
669,ctg1_5684,"Enolase, C-terminal TIM barrel domain"
670,ctg1_5685,ADP-ribosylglycohydrolase
671,ctg1_5687,Polyketide cyclase / dehydrase and lipid transport
672,ctg1_5688,"Bacterial fructose-1,6-bisphosphatase, glpX-encoded"
673,ctg1_5689,Thioesterase superfamily
674,ctg1_6202,DcaP outer membrane protein
675,ctg1_6203,ABC transporter
676,ctg1_6203,NIL domain
677,ctg1_6204,Binding-protein-dependent transport system inner membrane component
678,ctg1_6205,NlpA lipoprotein
679,ctg1_6206,Protein of unknown function (DUF3060)
680,ctg1_6209,Pentapeptide repeats (8 copies)
681,ctg1_6209,Pentapeptide repeats (8 copies)
682,ctg1_6209,Pentapeptide repeats (8 copies)
683,ctg1_6209,Pentapeptide repeats (8 copies)
684,ctg1_6209,Pentapeptide repeats (8 copies)
685,ctg1_6210,PAS fold
686,ctg1_6210,PAS domain
687,ctg1_6210,PAS fold
688,ctg1_6210,PAS fold
689,ctg1_6210,His Kinase A (phospho-acceptor) domain
690,ctg1_6210,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
691,ctg1_6212,Putative restriction endonuclease
692,ctg1_6213,Cytochrome P450
693,ctg1_6214,Condensation domain
694,ctg1_6214,Phosphopantetheine attachment site
695,ctg1_6215,AMP-binding enzyme
696,ctg1_6215,AMP-binding enzyme C-terminal domain
697,ctg1_6215,Phosphopantetheine attachment site
698,ctg1_6215,Condensation domain
699,ctg1_6215,AMP-binding enzyme
700,ctg1_6215,Phosphopantetheine attachment site
701,ctg1_6216,Smr domain
702,ctg1_6217,Adenosine deaminase
703,ctg1_6218,Dihydroorotate dehydrogenase
704,ctg1_6220,Matrixin
705,ctg1_6222,"Dopa 4,5-dioxygenase family"
706,ctg1_6223,"Bacterial regulatory helix-turn-helix protein, lysR family"
707,ctg1_6223,LysR substrate binding domain
708,ctg1_6224,Molybdopterin oxidoreductase Fe4S4 domain
709,ctg1_6224,Molybdopterin oxidoreductase
710,ctg1_6224,Molydopterin dinucleotide binding domain
711,ctg1_6225,"Bacterial regulatory proteins, tetR family"
712,ctg1_6226,Dioxygenase
713,ctg1_6227,PAS fold
714,ctg1_6227,PAS fold
715,ctg1_6227,PAS fold
716,ctg1_6227,His Kinase A (phospho-acceptor) domain
717,ctg1_6227,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
718,ctg1_6228,tRNA synthetases class II (A)
719,ctg1_6228,Threonyl and Alanyl tRNA synthetase second additional domain
720,ctg1_6229,"Bacterial regulatory proteins, gntR family"
721,ctg1_6229,FCD domain
722,ctg1_6230,"Malonate decarboxylase, alpha subunit, transporter"
723,ctg1_6231,Malonate decarboxylase delta subunit (MdcD)
724,ctg1_6311,Insulinase (Peptidase family M16)
725,ctg1_6311,Peptidase M16 inactive domain
726,ctg1_6313,Aldo/keto reductase family
727,ctg1_6314,Cupin-like domain
728,ctg1_6316,Major Facilitator Superfamily
729,ctg1_6318,DegT/DnrJ/EryC1/StrS aminotransferase family
730,ctg1_6319,Arginase family
731,ctg1_6321,Protein of unknown function (DUF692)
732,ctg1_6322,B12 binding domain
733,ctg1_6322,Radical SAM superfamily
734,ctg1_6324,Cupin domain
735,ctg1_6325,Sodium/hydrogen exchanger family
736,ctg1_6325,TrkA-N domain
737,ctg1_6394,"Type II secretion system (T2SS), protein E, N-terminal domain"
738,ctg1_6396,Glyoxalase-like domain
739,ctg1_6398,MarR family
740,ctg1_6399,OsmC-like protein
741,ctg1_6400,Fungalysin/Thermolysin Propeptide Motif
742,ctg1_6400,Peptidase propeptide and YPEB domain
743,ctg1_6400,"Thermolysin metallopeptidase, catalytic domain"
744,ctg1_6400,"Thermolysin metallopeptidase, alpha-helical domain"
745,ctg1_6402,Protein of unknown function DUF262
746,ctg1_6403,HipA N-terminal domain
747,ctg1_6403,HipA-like C-terminal domain
748,ctg1_6404,HEAT repeats
749,ctg1_6405,Beta-eliminating lyase
750,ctg1_6407,"Beta-ketoacyl synthase, N-terminal domain"
751,ctg1_6407,"Beta-ketoacyl synthase, C-terminal domain"
752,ctg1_6407,Ketoacyl-synthetase C-terminal extension
753,ctg1_6407,Acyl transferase domain
754,ctg1_6408,"Beta-ketoacyl synthase, N-terminal domain"
755,ctg1_6408,"Beta-ketoacyl synthase, C-terminal domain"
756,ctg1_6408,Ketoacyl-synthetase C-terminal extension
757,ctg1_6408,Acyl transferase domain
758,ctg1_6408,KR domain
759,ctg1_6408,Phosphopantetheine attachment site
760,ctg1_6408,"Beta-ketoacyl synthase, N-terminal domain"
761,ctg1_6408,"Beta-ketoacyl synthase, C-terminal domain"
762,ctg1_6408,Ketoacyl-synthetase C-terminal extension
763,ctg1_6408,Polyketide synthase dehydratase
764,ctg1_6408,KR domain
765,ctg1_6408,Phosphopantetheine attachment site
766,ctg1_6409,"Beta-ketoacyl synthase, N-terminal domain"
767,ctg1_6409,"Beta-ketoacyl synthase, C-terminal domain"
768,ctg1_6409,Ketoacyl-synthetase C-terminal extension
769,ctg1_6409,Acyl transferase domain
770,ctg1_6409,Acyl transferase domain
771,ctg1_6409,Acyl transferase domain
772,ctg1_6409,Polyketide synthase dehydratase
773,ctg1_6409,Zinc-binding dehydrogenase
774,ctg1_6409,KR domain
775,ctg1_6409,Phosphopantetheine attachment site
776,ctg1_6410,CoA-transferase family III
777,ctg1_6411,SCP-2 sterol transfer family
778,ctg1_6412,Response regulator receiver domain
779,ctg1_6414,mttA/Hcf106 family
780,ctg1_6415,Tetratricopeptide repeat
781,ctg1_6416,"Sigma-70 factor, region 1.2"
782,ctg1_6416,Sigma-70 region 2
783,ctg1_6416,"Sigma-70, region 4"
784,ctg1_6417,FAD binding domain
785,ctg1_6417,"FAD linked oxidases, C-terminal domain"
786,ctg1_6418,GTP cyclohydrolase I
787,ctg1_6421,Zinc-uptake complex component A periplasmic
788,ctg1_6423,ABC transporter
789,ctg1_6424,ABC 3 transport family
790,ctg1_6425,Isochorismatase family
791,ctg1_6426,CBS domain
792,ctg1_6426,CBS domain
793,ctg1_6427,Alpha/beta hydrolase family
794,ctg1_6428,Tetratricopeptide repeat
795,ctg1_6488,Peptidase family M13
796,ctg1_6488,Peptidase family M13
797,ctg1_6489,Chalcone isomerase-like
798,ctg1_6490,Aminotransferase class-V
799,ctg1_6491,Putative DNA-binding domain
800,ctg1_6492,Protein of unknown function (DUF692)
801,ctg1_6494,Helix-turn-helix
802,ctg1_6494,IrrE N-terminal-like domain
803,ctg1_6494,Short-chain fatty acyl coenzyme A regulators
804,ctg1_6495,Tetratricopeptide repeat
805,ctg1_6495,Tetratricopeptide repeat
806,ctg1_6495,Tetratricopeptide repeat
807,ctg1_6590,TIR domain
808,ctg1_6591,"SLOG in TRPM, prokaryote"
809,ctg1_6591,Protein of unknown function (DUF4231)
810,ctg1_6591,SMODS and SLOG-associating 2TM effector domain 1
811,ctg1_6593,Ferritin-like
812,ctg1_6594,NAD(P)-binding Rossmann-like domain
813,ctg1_6594,GMC oxidoreductase
814,ctg1_6596,"Phosphatidylinositol-specific phospholipase C, X domain"
815,ctg1_6596,PAN domain
816,ctg1_6596,PAN domain
817,ctg1_6596,PAN domain
818,ctg1_6596,PAN domain
819,ctg1_7169,alpha/beta hydrolase fold
820,ctg1_7171,"Bacterial regulatory proteins, tetR family"
821,ctg1_7171,"Tetracyclin repressor-like, C-terminal domain"
822,ctg1_7172,Prenyltransferase and squalene oxidase repeat
823,ctg1_7172,Squalene-hopene cyclase C-terminal domain
824,ctg1_7174,Patatin-like phospholipase
825,ctg1_7175,CoA binding domain
826,ctg1_7178,Glycosyl hydrolase family 26
827,ctg1_7179,Protein of unknown function (DUF2795)
828,ctg1_7181,Transglutaminase-like superfamily
829,ctg1_7181,Tetratricopeptide repeat
830,ctg1_7182,NUDIX domain
831,ctg1_7183,"Serine aminopeptidase, S33"
832,ctg1_7184,Acyltransferase
833,ctg1_7185,NAD dependent epimerase/dehydratase family
834,ctg1_7186,N-terminal domain of unknown function (DUF4140)
835,ctg1_7186,Domain of unknown function (DUF4139)
836,ctg1_7187,N-terminal domain of unknown function (DUF4140)
837,ctg1_7187,Domain of unknown function (DUF4139)
838,ctg1_7188,Hydroxymethylglutaryl-coenzyme A synthase N terminal
839,ctg1_7188,Hydroxymethylglutaryl-coenzyme A synthase C terminal
840,ctg1_7189,Alcohol dehydrogenase GroES-like domain
841,ctg1_7189,Zinc-binding dehydrogenase
842,ctg1_7190,Coenzyme A transferase
843,ctg1_7191,Coenzyme A transferase
844,ctg1_7192,"Bacterial regulatory proteins, tetR family"
845,ctg1_7192,"Tetracyclin repressor-like, C-terminal domain"
846,ctg1_7193,PAS fold
847,ctg1_7193,His Kinase A (phospho-acceptor) domain
848,ctg1_7193,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
849,ctg1_7193,Response regulator receiver domain
850,ctg1_7194,MoaC family
851,ctg1_7195,Cys/Met metabolism PLP-dependent enzyme
852,ctg1_7196,Pyridine nucleotide-disulphide oxidoreductase
853,ctg1_7197,Cyclic nucleotide-binding domain
854,ctg1_7198,Response regulator receiver domain
855,ctg1_7199,DAHL domain
856,ctg1_7199,PAS fold
857,ctg1_7199,His Kinase A (phospho-acceptor) domain
858,ctg1_7199,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
859,ctg1_7199,Response regulator receiver domain
860,ctg1_7200,Hpt domain
861,ctg1_7201,F5/8 type C domain
862,ctg1_7201,Polysaccharide lyase
863,ctg1_7202,AhpC/TSA family
864,ctg1_7203,Ferritin-like domain
865,ctg1_7204,short chain dehydrogenase
866,ctg1_7205,chorismate binding enzyme
867,ctg1_7206,AMP-binding enzyme
868,ctg1_7206,AMP-binding enzyme C-terminal domain
869,ctg1_7207,Isochorismatase family
870,ctg1_7207,Phosphopantetheine attachment site
871,ctg1_7208,Condensation domain
872,ctg1_7208,AMP-binding enzyme
873,ctg1_7208,AMP-binding enzyme C-terminal domain
874,ctg1_7208,Phosphopantetheine attachment site
875,ctg1_7208,Male sterility protein
876,ctg1_7209,Class-II DAHP synthetase family
877,ctg1_7209,Class-II DAHP synthetase family
878,ctg1_7210,Gram-negative bacterial TonB protein C-terminal
879,ctg1_7210,TonB-dependent Receptor Plug Domain
880,ctg1_7210,TonB dependent receptor
881,ctg1_7212,MotA/TolQ/ExbB proton channel family
882,ctg1_7213,Biopolymer transport protein ExbD/TolR
883,ctg1_7214,Gram-negative bacterial TonB protein C-terminal
884,ctg1_7215,"Serine acetyltransferase, N-terminal"
885,ctg1_7216,Pyridoxal-phosphate dependent enzyme
886,ctg1_7219,His Kinase A (phospho-acceptor) domain
887,ctg1_7219,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
888,ctg1_7221,Protein of unknown function (DUF1232)
889,ctg1_7222,HxlR-like helix-turn-helix
890,ctg1_7223,Major Facilitator Superfamily
891,ctg1_7225,Amidase
892,ctg1_7226,Papain family cysteine protease
893,ctg1_7227,Aminotransferase class-V
894,ctg1_7234,Helix-turn-helix domain
895,ctg1_7235,Response regulator receiver domain
896,ctg1_7235,His Kinase A (phospho-acceptor) domain
897,ctg1_7235,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
898,ctg1_7235,Response regulator receiver domain
899,ctg1_7236,HAMP domain
900,ctg1_7236,HAMP domain
901,ctg1_7236,HAMP domain
902,ctg1_7236,HAMP domain
903,ctg1_7236,HAMP domain
904,ctg1_7236,HAMP domain
905,ctg1_7236,HAMP domain
906,ctg1_7236,HAMP domain
907,ctg1_7236,HAMP domain
908,ctg1_7236,HAMP domain
909,ctg1_7236,GAF domain
910,ctg1_7236,His Kinase A (phospho-acceptor) domain
911,ctg1_7236,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
912,ctg1_7236,Response regulator receiver domain
913,ctg1_7236,Response regulator receiver domain
914,ctg1_7236,Response regulator receiver domain
915,ctg1_7237,"CheR methyltransferase, all-alpha domain"
916,ctg1_7237,"CheR methyltransferase, SAM binding domain"
917,ctg1_7240,Winged helix DNA-binding domain
918,ctg1_7241,"Homogentisate 1,2-dioxygenase N-terminal"
919,ctg1_7241,"Homogentisate 1,2-dioxygenase C-terminal"
920,ctg1_7242,Fumarylacetoacetase N-terminal domain 2
921,ctg1_7242,Fumarylacetoacetate (FAA) hydrolase family
922,ctg1_7243,alpha/beta hydrolase fold
923,ctg1_7243,TAP-like protein
924,ctg1_7244,PAS fold
925,ctg1_7244,GAF domain
926,ctg1_7244,His Kinase A (phospho-acceptor) domain
927,ctg1_7244,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
928,ctg1_7245,Zinc carboxypeptidase
929,ctg1_7246,AMP-binding enzyme
930,ctg1_7246,AMP-binding enzyme C-terminal domain
931,ctg1_7246,Phosphopantetheine attachment site
932,ctg1_7247,"Bacterial regulatory helix-turn-helix protein, lysR family"
933,ctg1_7247,LysR substrate binding domain
934,ctg1_7248,Metallo-beta-lactamase superfamily
935,ctg1_7249,GMC oxidoreductase
936,ctg1_7249,GMC oxidoreductase
937,ctg1_7250,Ricin-type beta-trefoil lectin domain-like
938,ctg1_7250,Thaumatin family
939,ctg1_7251,Cellulase (glycosyl hydrolase family 5)
940,ctg1_7252,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
941,ctg1_7255,Transmembrane secretion effector
942,ctg1_7256,Amidohydrolase family
943,ctg1_7257,Isochorismatase family
944,ctg1_7259,Response regulator receiver domain
945,ctg1_7259,"Bacterial regulatory proteins, luxR family"
946,ctg1_7260,Alpha/beta hydrolase family
947,ctg1_7262,Bacterial extracellular solute-binding protein
948,ctg1_7262,von Willebrand factor type A domain
949,ctg1_7264,Bacterial extracellular solute-binding protein
950,ctg1_7282,Cytochrome P450
951,ctg1_7283,Astacin (Peptidase family M12A)
952,ctg1_7284,Substrate binding domain of ABC-type glycine betaine transport system
953,ctg1_7286,Radical SAM superfamily
954,ctg1_7286,Iron-sulfur cluster-binding domain
955,ctg1_7287,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
956,ctg1_7288,Enoyl-(Acyl carrier protein) reductase
957,ctg1_7289,Cupin domain
958,ctg1_7290,Alcohol dehydrogenase GroES-like domain
959,ctg1_7290,Zinc-binding dehydrogenase
960,ctg1_7292,Cupin domain
961,ctg1_7293,3-dehydroquinate synthase
962,ctg1_7294,GMC oxidoreductase
963,ctg1_7294,GMC oxidoreductase
964,ctg1_7295,"Glucose-6-phosphate dehydrogenase, NAD binding domain"
965,ctg1_7295,"Glucose-6-phosphate dehydrogenase, C-terminal domain"
966,ctg1_7296,NAD(P)-binding Rossmann-like domain
967,ctg1_7296,Flavin-binding monooxygenase-like
968,ctg1_7297,"Bacterial regulatory proteins, tetR family"
969,ctg1_7298,Membrane dipeptidase (Peptidase family M19)
970,ctg1_7299,Domain of unknown function (DUF2383)
971,ctg1_7361,Protein of unknown function (DUF1360)
972,ctg1_7364,PepSY-associated TM region
973,ctg1_7365,TonB-dependent Receptor Plug Domain
974,ctg1_7365,TonB dependent receptor
975,ctg1_7366,Fatty acid desaturase
976,ctg1_7367,EamA-like transporter family
977,ctg1_7367,EamA-like transporter family
978,ctg1_7368,"Lactonase, 7-bladed beta-propeller"
979,ctg1_7369,"Bacterial regulatory helix-turn-helix protein, lysR family"
980,ctg1_7369,LysR substrate binding domain
981,ctg1_7370,NAD dependent epimerase/dehydratase family
982,ctg1_7371,CarS bacterial SH3 domain
983,ctg1_7373,Sigma-70 region 2
984,ctg1_7373,"Sigma-70, region 4"
985,ctg1_7374,Cysteine-rich secretory protein family
986,ctg1_7375,Metallo-beta-lactamase superfamily
987,ctg1_7376,"Bacterial regulatory proteins, tetR family"
988,ctg1_7379,Domain of unknown function (DUF1993)
989,ctg1_7380,Condensation domain
990,ctg1_7380,AMP-binding enzyme
991,ctg1_7380,AMP-binding enzyme C-terminal domain
992,ctg1_7380,Phosphopantetheine attachment site
993,ctg1_7380,Condensation domain
994,ctg1_7380,Condensation domain
995,ctg1_7380,AMP-binding enzyme
996,ctg1_7380,AMP-binding enzyme C-terminal domain
997,ctg1_7380,Phosphopantetheine attachment site
998,ctg1_7380,Condensation domain
999,ctg1_7380,Phosphopantetheine attachment site
1000,ctg1_7380,Thioesterase domain
1001,ctg1_7381,"Beta-ketoacyl synthase, N-terminal domain"
1002,ctg1_7381,"Beta-ketoacyl synthase, C-terminal domain"
1003,ctg1_7381,Ketoacyl-synthetase C-terminal extension
1004,ctg1_7381,Acyl transferase domain
1005,ctg1_7381,Phosphopantetheine attachment site
1006,ctg1_7381,Condensation domain
1007,ctg1_7381,AMP-binding enzyme
1008,ctg1_7381,Luciferase-like monooxygenase
1009,ctg1_7381,AMP-binding enzyme
1010,ctg1_7381,Condensation domain
1011,ctg1_7381,AMP-binding enzyme
1012,ctg1_7381,AMP-binding enzyme C-terminal domain
1013,ctg1_7381,Phosphopantetheine attachment site
1014,ctg1_7381,Condensation domain
1015,ctg1_7382,AMP-binding enzyme
1016,ctg1_7382,Phosphopantetheine attachment site
1017,ctg1_7382,Condensation domain
1018,ctg1_7382,AMP-binding enzyme
1019,ctg1_7382,AMP-binding enzyme C-terminal domain
1020,ctg1_7382,Phosphopantetheine attachment site
1021,ctg1_7385,Major Facilitator Superfamily
1022,ctg1_7386,Amino acid permease
1023,ctg1_7387,Putative metal-binding motif
1024,ctg1_7388,Putative metal-binding motif
1025,ctg1_7391,FIST N domain
1026,ctg1_7391,FIST C domain
1027,ctg1_7393,Haloacid dehalogenase-like hydrolase
1028,ctg1_7394,"Translation initiation factor IF-3, N-terminal domain"
1029,ctg1_7394,"Translation initiation factor IF-3, C-terminal domain"
1030,ctg1_7396,GAF domain
1031,ctg1_7396,His Kinase A (phospho-acceptor) domain
1032,ctg1_7396,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
1033,ctg1_7397,Fungalysin/Thermolysin Propeptide Motif
1034,ctg1_7397,"Thermolysin metallopeptidase, catalytic domain"
1035,ctg1_7397,"Thermolysin metallopeptidase, alpha-helical domain"
1036,ctg1_7397,Bacterial pre-peptidase C-terminal domain
1037,ctg1_7397,Bacterial pre-peptidase C-terminal domain
1038,ctg1_7432,Bacterial protein of unknown function (DUF839)
1039,ctg1_7432,Bacterial protein of unknown function (DUF839)
1040,ctg1_7432,WD40-like Beta Propeller Repeat
1041,ctg1_7435,Integrase core domain
1042,ctg1_7436,Transposase
1043,ctg1_7437,SNARE associated Golgi protein
1044,ctg1_7440,Cytochrome P450
1045,ctg1_7442,Ferritin-like
1046,ctg1_7445,Protein kinase domain
1047,ctg1_7445,AAA ATPase domain
1048,ctg1_7445,GAF domain
1049,ctg1_7445,His Kinase A (phospho-acceptor) domain
1050,ctg1_7445,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
1051,ctg1_8058,A nuclease family of the HNH/ENDO VII superfamily with conserved AHH
1052,ctg1_8059,Alcohol dehydrogenase GroES-like domain
1053,ctg1_8059,Zinc-binding dehydrogenase
1054,ctg1_8060,"Bacterial regulatory helix-turn-helix protein, lysR family"
1055,ctg1_8060,LysR substrate binding domain
1056,ctg1_8061,ADP-ribosylglycohydrolase
1057,ctg1_8062,Zinc-binding dehydrogenase
1058,ctg1_8063,"Bacterial regulatory helix-turn-helix protein, lysR family"
1059,ctg1_8063,LysR substrate binding domain
1060,ctg1_8065,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
1061,ctg1_8066,Serine endopeptidase inhibitors
1062,ctg1_8067,SCO1/SenC
1063,ctg1_8068,Cyclic nucleotide-binding domain
1064,ctg1_8068,Cyclic nucleotide-binding domain
1065,ctg1_8069,Tetratricopeptide repeat
1066,ctg1_8069,Tetratricopeptide repeat
1067,ctg1_8072,Ricin-type beta-trefoil lectin domain-like
1068,ctg1_8072,Ricin-type beta-trefoil lectin domain-like
1069,ctg1_8466,Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase
1070,ctg1_8467,Phosphofructokinase
1071,ctg1_8468,Protein of unknown function (DUF3396)
1072,ctg1_8469,HD domain
1073,ctg1_8470,"YcaO cyclodehydratase, ATP-ad Mg2+-binding"
1074,ctg1_8471,Glycosyl transferase 4-like domain
1075,ctg1_8471,Glycosyl transferases group 1
1076,ctg1_8472,Aldose 1-epimerase
1077,ctg1_8473,Pyridoxal-phosphate dependent enzyme
1078,ctg1_8474,"Bacterial regulatory proteins, tetR family"
1079,ctg1_8474,"Tetracyclin repressor-like, C-terminal domain"
1080,ctg1_8641,Protein of unknown function DUF58
1081,ctg1_8643,AIG2-like family
1082,ctg1_8644,YtkA-like
1083,ctg1_8645,"Cytochrome C oxidase, cbb3-type, subunit III"
1084,ctg1_8646,Protein of unknown function (DUF692)
1085,ctg1_8647,Putative DNA-binding domain
1086,ctg1_8648,NADP oxidoreductase coenzyme F420-dependent
1087,ctg1_8648,"NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain"
1088,ctg1_8649,Methyltransferase domain
1089,ctg1_8651,Protein of unknown function (DUF3396)
1090,ctg1_8906,F5/8 type C domain
1091,ctg1_8907,Sugar (and other) transporter
1092,ctg1_8907,Sugar (and other) transporter
1093,ctg1_8909,Transcription factor zinc-finger
1094,ctg1_8909,Transcription factor zinc-finger
1095,ctg1_8910,GDSL-like Lipase/Acylhydrolase family
1096,ctg1_8911,D-ala D-ala ligase C-terminus
1097,ctg1_8912,MmyB-like transcription regulator ligand binding domain
1098,ctg1_8915,Response regulator receiver domain
1099,ctg1_8915,Domain of unknown function (DUF4388)
1100,ctg1_8916,Dimerisation domain
1101,ctg1_8916,O-methyltransferase domain
1102,ctg1_8917,UbiA prenyltransferase family
1103,ctg1_8918,FAD binding domain
1104,ctg1_8919,short chain dehydrogenase
1105,ctg1_8920,Methyl-accepting chemotaxis protein (MCP) signalling domain
1106,ctg1_8922,"Chalcone and stilbene synthases, N-terminal domain"
1107,ctg1_8922,"Chalcone and stilbene synthases, C-terminal domain"
1108,ctg1_8923,AMP-binding enzyme
1109,ctg1_8924,Pregnancy-associated plasma protein-A
